live-and-let-live, live and let live, 2021.03, Dance Film, Director / Chinematograher /  Lighting / Colorlist, 6min, Project : sta21 & 筑波大学ダンス部
express, EXPRESS 筑波大学ダンス部, 2020.01, Documentary Movie, Director / Cinematographer / Editor , 15min 10sec / 11min 5sec / 15min 16sec, Project : sta21
konjikihime, 金色姫物語 ~ダンスによる再創造~, 2022.10, Live, Director / Cinematographer / Editor, 18min 57sec, Client work : 筑波山華やぎプロジェクト
hyakuninkimono-sns, 百人きもの KAGAI ~雅~ - ダイジェスト, 2022.10,  Digest Movie , Director / Cinematographer / Editor, 1min 30sec, Client work : 筑波山華やぎプロジェクト
hyakuninkimono, 百人きもの KAGAI ~雅~ - 記録映像, 2022.11,  Movie , Director / Cinematographer / Editor, 10min 43sec, Client work : 筑波山華やぎプロジェクト
a-retina-grabs-a-twinkle,網膜は光を掴む,2022.05,Film,Director,4min 40sec,Personal Work
rush,迸る, 2020.12, Dance Film, Chinematograher / Editor, 5min 22sec, Client work : 筑波大学ダンス部
important-things,大切なこと, 2020.12, Dance Film, Chinematograher / Editor, 5min 23sec, Client work : 筑波大学ダンス部
who,何者, 2020.12, Dance Film, Chinematograher / Editor, 4min 35sec, Client work : 筑波大学ダンス部
dance-ut-teaser,"迸る" / "何者" / "大切なこと" Dance Video Teaser, 2020.12, Teaser Movie , Director / Chinematograher / Editor, 35sec, Project : 筑波大学ダンス部
mawase-making, MVメイキング映像「回せ！」, 2020.04, Making Moive, Director / Cinematographer / Editor, 4min 35sec, Client Work : 回せ！グルーヴ開発
anzenkaihatsu-making,MVメイキング映像「安全開発ソング」, 2020.11, Making Moive, Director / Editor, 2min 18sec, Client Work : 回せ！グルーヴ開発部
for-rembrandt-ray,レンブラント光線の彼方,2021.12,Film,Director,1min,Personal Work
on-a-gloomy-morning, 暗澹の朝に,2022.05,Film, Director, 1min 6sec,Personal Work
life-is-coming-back,Life is coming back, 2020.12, Film, Director, 16sec, Personal Work
gfest-guide, GFEST ガイドムービー, 2022.10, Guide Movie, Cinematographer, Client work : GFEST by University of Tsukuba
yuragi,ゆらぎ -ダイジェスト, 2019.11, Digest Movie, Director / Cinematographer / Editor, 1min 45sec, Client Work : TParty
tparty-launch,Launch Party -ダイジェスト, 2019.06, Digest Movie, Director / Cinematographer / Editor, 6min 38sec, Client Work : TParty
tsukuba-collection-2021no1,Tsukuba Collection 2021 no.1 KENT KISHIMA, 2021.10, Promotion Video, Director, 30sec
